fn | definer | anon-executable(modelled) | PUBLIC | anon | latest def
activate_arrears_repayment_plan | True | True | True | True | supabase/migrations/00000000000080_rental_phase4_arrears.sql:315
advance_vital_event_to_registered | True | True | True | True | supabase/migrations/00000000000059_task14a_civil_payment_and_preconditions.sql:231
apply_death_on_approval | True | True | True | True | supabase/migrations/00000000000059_task14a_civil_payment_and_preconditions.sql:82
apply_rental_occupancy_on_approval | True | True | True | True | supabase/migrations/00000000000084_rental_review_regression_fixes.sql:61
arrears_installment_charge_amount_sync | True | True | True | True | supabase/migrations/00000000000080_rental_phase4_arrears.sql:434
arrears_repayment_installment_amount_sync | True | True | True | True | supabase/migrations/00000000000080_rental_phase4_arrears.sql:376
arrears_repayment_plan_amount_sync | True | True | True | True | supabase/migrations/00000000000081_rental_phase4_review_fixes.sql:626
assert_credential_request_office_woreda | True | True | True | True | supabase/migrations/00000000000050_task11_fix_office_trigger.sql:45
assert_office_woreda_consistency | True | True | True | True | supabase/migrations/00000000000049_task11_review_hardening.sql:121
assert_rental_occupancy_woreda_consistency | True | True | True | True | supabase/migrations/00000000000085_rental_review_round2_fixes.sql:141
assert_rental_request_woreda_consistency | True | True | True | True | supabase/migrations/00000000000073_rental_phase1_review_fixes.sql:102
assert_residence_credential_office_woreda | True | True | True | True | supabase/migrations/00000000000050_task11_fix_office_trigger.sql:24
assert_vital_event_woreda_consistency | True | True | True | True | supabase/migrations/00000000000032_task2_tenant_scoped_definer_triggers.sql:223
assign_arrears_plan_number | True | True | True | True | supabase/migrations/00000000000080_rental_phase4_arrears.sql:232
assign_credential_number | True | True | True | True | supabase/migrations/00000000000002_credential.sql:76
assign_credential_request_number | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:961
assign_letter_verification_token | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:990
assign_receipt_number | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:1004
assign_receipt_verification_token | True | True | True | True | supabase/migrations/00000000000013_receipt_verification.sql:36
assign_rent_account_number | True | True | True | True | supabase/migrations/00000000000076_rental_phase2_financial_core.sql:125
assign_rental_request_number | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:1030
assign_resident_number | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:1062
assign_service_request_number | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:1115
assign_vital_event_number | True | True | True | True | supabase/migrations/00000000000000_baseline.sql:1143
audit_app_user_role_change | True | True | True | True | supabase/migrations/00000000000041_task13_review_hardening.sql:98
audit_resident_created | True | True | True | True | supabase/migrations/00000000000043_task5_resident_creation_audit.sql:30
audit_tenant_role_change | True | True | True | True | supabase/migrations/00000000000041_task13_review_hardening.sql:54
audit_tenant_role_permission_change | True | True | True | True | supabase/migrations/00000000000041_task13_review_hardening.sql:78
check_credential_print_eligibility | False | True | True | True | supabase/migrations/00000000000046_task10_credential_lifecycle.sql:70
clear_custom_role_on_woreda_change | True | True | True | True | supabase/migrations/00000000000042_task13_woreda_pin_and_move_hardening.sql:66
clear_overrides_on_role_promotion | True | True | True | True | supabase/migrations/00000000000021_override_security_fixes.sql:94
